org,model_id,primary,backend,curve_type,fixed_voltage,npz_path,n_points,mse_ln,mae_ln,rmse_ln,r2_ln,mse_abs,mae_abs,rmse_abs,r2_abs
Org2,org2_exp1,True,sklearn,output,-44.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg44V_synth_001.npz,1500,0.15364322255985646,0.15926071901978195,0.3919734972671704,0.6427948805172266,8.791676697624455,2.4610754326581326,2.965076170627739,0.9044714913426432
Org2,org2_exp1,True,sklearn,output,-46.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg46V_synth_002.npz,1500,0.14439603290045078,0.16896695365002767,0.37999478009632026,0.674044534121111,13.222088642205431,3.2377053772795157,3.636219003608753,0.8947097332006457
Org2,org2_exp1,True,sklearn,output,-48.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg48V_synth_003.npz,1500,0.1372024071446289,0.18874811482176052,0.370408432874616,0.6987404256600653,23.705348186802023,4.539384594723361,4.868813837763981,0.8591185310301418
Org2,org2_exp1,True,sklearn,output,-50.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg50V_synth_004.npz,1500,0.13451628940298166,0.21953474688544702,0.3667646239797149,0.7122496887964388,47.11210579176319,6.515545803257237,6.863825885886325,0.7875945773847488
Org2,org2_exp1,True,sklearn,transfer,-7.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg7V_synth_000.npz,1500,0.0012422736815162188,0.02950952022251693,0.035245903045832416,0.9999124605465506,0.04931912718048435,0.13687681588172576,0.22207910117902663,0.9983580371913768
Org2,org2_exp1,True,sklearn,transfer,-9.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg9V_synth_001.npz,1500,0.002338356037028585,0.0453921933211749,0.048356551128348524,0.9998407739396016,0.20350432706781926,0.2626395994325991,0.45111453874578156,0.9952388444951012
Org2,org2_exp1,True,sklearn,transfer,-11.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg11V_synth_002.npz,1500,0.004872210978538716,0.06474193910003263,0.06980122476388732,0.999675666988618,0.6308740482311669,0.486354744677892,0.7942758011114067,0.9884614833499675
Org2,org2_exp1,True,sklearn,transfer,-13.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg13V_synth_003.npz,1500,0.005800067079294508,0.06952989988942913,0.07615817145450977,0.999619797664095,0.9234154718692266,0.5900859466011045,0.9609450930564277,0.9858348754483728
Org2,org2_exp1,True,sklearn,transfer,-15.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/transfer/transfer-neg15V_synth_004.npz,1500,0.00540213477285748,0.06652600145990624,0.07349921613770775,0.9996496255359398,0.987962833313426,0.6090214185794943,0.9939631951503164,0.9866515122731353
Org3,org3_exp1,True,sklearn,output,-18.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg18V_synth_000.npz,1500,0.2258864542252317,0.28395081217977,0.47527513529031973,0.4160061805282008,2462.245969945908,45.42011772540535,49.62102346733598,0.5590261940349379
Org3,org3_exp1,True,sklearn,output,-20.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg20V_synth_001.npz,1500,0.23563430536483235,0.28135916255977367,0.48542178089248567,0.463762075281863,4528.565857896201,61.50122535811799,67.29461982875155,0.6481755346504028
Org3,org3_exp1,True,sklearn,output,-22.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg22V_synth_002.npz,1500,0.23894947005047382,0.27026206818214665,0.48882458003917295,0.5140947189161629,6717.733061952554,74.44429129600253,81.9617780550944,0.7383342605366363
Org3,org3_exp1,True,sklearn,output,-24.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg24V_synth_003.npz,1500,0.23124504570213505,0.2494701203158401,0.48087945028056156,0.5740103158755037,8003.716881464235,80.3585835604545,89.46349468618044,0.8247727197835302
Org3,org3_exp1,True,sklearn,output,-26.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg26V_synth_004.npz,1500,0.20794823353105843,0.22055828360486646,0.4560134137622033,0.6484272701770374,7790.3782837722765,77.9048007759086,88.26311961273676,0.8947254698990693
Org3,org3_exp1,True,sklearn,output,-22.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg22V_synth_000.npz,1500,0.28536693133249047,0.2800630773063451,0.5341974647379848,0.48148630125855574,6792.712283518722,74.70799111807604,82.41791239481088,0.7390593855512428
Org3,org3_exp1,True,sklearn,output,-24.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg24V_synth_001.npz,1500,0.27736541359857875,0.25927699968312246,0.5266549283910469,0.540253140806811,8098.971157916502,80.65393117294332,89.99428402913433,0.8248767780983327
Org3,org3_exp1,True,sklearn,output,-26.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg26V_synth_002.npz,1500,0.2524301197333781,0.23020983370174652,0.5024242427803202,0.6137771682056192,7888.068474455464,78.17248177247868,88.81479873565814,0.894609772556767
Org3,org3_exp1,True,sklearn,output,-28.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg28V_synth_003.npz,1500,0.2116072173108143,0.20777516972137877,0.46000784483616614,0.6977417788412038,8265.93954113711,78.20388707417065,90.91721256801216,0.9261899470352097
Org3,org3_exp1,True,sklearn,output,-30.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg30V_synth_004.npz,1500,0.1763334270714193,0.23372328801327388,0.4199207390346651,0.7623326661137447,17206.647961553674,113.95919964984652,131.17411315329588,0.8901967037223237
Org3,org3_exp1,True,sklearn,transfer,-4.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/transfer/transfer-neg4V_synth_000.npz,1500,0.010920316174633397,0.07171371271241704,0.10450031662456051,0.9998626293267573,270.94432986140754,8.985926144332057,16.460386686266137,0.9870769546304251
Org3,org3_exp1,True,sklearn,transfer,-6.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/transfer/transfer-neg6V_synth_001.npz,1500,0.022834345344954595,0.13100792141608417,0.151110374709861,0.9997198477570162,1545.528330565158,25.30280108134625,39.313208093020826,0.9632978443109249
Org3,org3_exp1,True,sklearn,transfer,-8.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/transfer/transfer-neg8V_synth_002.npz,1500,0.031144484072358328,0.15577381023298778,0.17647799883373091,0.9996234621050644,3537.4485486065983,40.093203682820786,59.47645373260412,0.9464006796316669
Org3,org3_exp1,True,sklearn,transfer,-10.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/transfer/transfer-neg10V_synth_003.npz,1500,0.0303876766040703,0.15229293172583858,0.1743206143979257,0.999636033141088,4495.807024407845,45.61150297169802,67.05077944668388,0.9499659136295989
Org3,org3_exp1,True,sklearn,transfer,-12.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/transfer/transfer-neg12V_synth_004.npz,1500,0.02520514007206639,0.13736222473410542,0.15876126754364991,0.9996999802913162,4148.362607556418,44.23304313505711,64.40778374976442,0.9628287646855399
Org3,org3_exp1,True,sklearn,output,-10.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg10V_synth_000.npz,1500,0.227073159229356,0.1445958124169163,0.47652193992444464,0.12801611901001608,5.261187355884588,1.119193790786926,2.293727829513473,0.39724535383284254
Org3,org3_exp1,True,sklearn,output,-12.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg12V_synth_001.npz,1500,0.2626496141652088,0.2215851112044712,0.5124935259739472,0.1999403434796857,56.77352902196197,5.860820585326796,7.5348211008597925,0.4414431823784154
Org3,org3_exp1,True,sklearn,output,-14.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg14V_synth_002.npz,1500,0.2902742546106036,0.2730505592885496,0.5387710595518319,0.25329642675355646,322.2698998361885,15.857442330538492,17.95187733459062,0.4291505328476719
Org3,org3_exp1,True,sklearn,output,-16.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg16V_synth_003.npz,1500,0.31060412940539045,0.2942406353761518,0.5573186964434178,0.3040175629800804,1067.8362246108109,29.644382455452533,32.6777634579053,0.48172126501271606
Org3,org3_exp1,True,sklearn,output,-18.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org3/Org3/tipo_p/output/output-neg18V_synth_004.npz,1500,0.326343539935065,0.30061081856985267,0.5712648597061305,0.35121391820031,2505.3450391378265,45.66862556018878,50.053421852435086,0.5628384096111296
Org4,org4_exp1,True,sklearn,output,-22.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/output/output-neg22V_synth_000.npz,1500,0.2645845033872138,0.13284639924199568,0.5143777827503963,0.01723985746771206,3.2655614793232117,0.84421392479399,1.807086461496298,0.06932056665176511
Org4,org4_exp1,True,sklearn,output,-24.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/output/output-neg24V_synth_001.npz,1500,0.28705700684689966,0.13472686873510337,0.5357770122419397,0.04009637829503976,8.483593809538542,1.2834793828501798,2.912660949980025,0.17893025608308566
Org4,org4_exp1,True,sklearn,output,-26.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/output/output-neg26V_synth_002.npz,1500,0.30619023853636074,0.13525540127638602,0.5533445929403853,0.0667753409626699,18.340754893103103,1.7664070157664216,4.28261075666504,0.2846012172762017
Org4,org4_exp1,True,sklearn,output,-28.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/output/output-neg28V_synth_003.npz,1500,0.32340844815699626,0.13608348802714368,0.5686901161062994,0.09405127523036971,34.86198192894169,2.28777608301643,5.9044036048479684,0.37585184661747684
Org4,org4_exp1,True,sklearn,output,-30.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/output/output-neg30V_synth_004.npz,1500,0.3394776767986706,0.1432843236681121,0.5826471288856323,0.12077941895856914,60.219801303631236,3.116401309043788,7.760141835277963,0.4521967194993223
Org4,org4_exp1,True,sklearn,transfer,-42.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/transfer/transfer-neg42V_synth_000.npz,1500,0.000871808047744144,0.01468858094256358,0.029526395779778877,0.9999701241932544,5.6443192394516375,1.5430986132335565,2.3757776073217873,0.9997900373631183
Org4,org4_exp1,True,sklearn,transfer,-44.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/transfer/transfer-neg44V_synth_001.npz,1500,0.0007426807256572152,0.013717909748141485,0.027252169191776556,0.9999746213590576,5.501545492690608,1.4976229291082912,2.3455373569164504,0.9998087129908925
Org4,org4_exp1,True,sklearn,transfer,-46.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org4/Org4/tipo_p/transfer/transfer-neg46V_synth_002.npz,1500,0.0006475466015527109,0.013308664291374677,0.025446936977811512,0.999977928567968,5.57434059152166,1.4863081855309792,2.3610041489844233,0.999817872362512
